chi_name,eng_name,chi_genre,eng_genre,chi_director,eng_director,chi_cast,eng_cast,open_date,thumbnail,chi_synopsis,eng_synopsis,category,duration
荒謬啟示錄 (bc sunday),Leviathan (bc sunday),,,安德烈薩金塞夫,Andrey Zvyagintsev,"Vladimir Vdovichenkov, Aleksei Serebryakov","Vladimir Vdovichenkov, Aleksei Serebryakov",2017-04-23 00:00:00,http://api.hkmovie6.com/hkmovies/images/movies/movies_45542.jpg,正義被教權私有，個人被國家輾壓，只有廣闊荒涼的大海做無言的見證者。古勒世世代代住在北俄一個海邊小鎮，家裡經營車房，一家三口算是生活安穩。但是，貪婪的鎮長竟以教會之名，企圖逼迫古勒賤賣土地，更密謀強制徵收他的祖居。為了保護妻兒與家園，古勒惟有向律師老友求救，卻發現鎮長強權無法無天，背後的政教勢力更是龐大猙獰… 電影曾獲奧斯卡最佳外語片提名,"Kolya lives in a small town near the Barents Sea, in North Russia. He has his own auto-repair shop. His shop stands right next to the house where he lives with his young wife Lilya and his son from a previous marriage Roma. Vadim Shelevyat, the Mayor of the town, wants to take away his business, his house and his land. First he tries buying off Kolya, but Kolya cannot stand losing everything he has, not only the land, but also all the beauty that has surrounded him from the day of his birth. So Vadim Shelevyat starts being more aggressive. The Golden Globe winner and Oscar nominee for Best Foreign Language film.",IIB,90
槑計劃,Foolish Plan,劇情、犯罪,"Drama, Crime",森島,NULL,陳小春、鄧家佳、汪東城、吳啟華、李凡秀,,2017-04-24 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45632-2017-04-11-063155390.jpg,鬱鬱不得志的賭場洗碼仔梅大志（陳小春 飾)因妻子安靜（鄧家佳 飾)和萍水相逢的蜜月夫婦郝東東（汪東城 飾）和菓菓（汪東城 飾）欠下了巨額賭債，又因為安靜的姐姐安寧（徐鷗儀 飾）和她的學生仔仔，捲入了一塊價值連城的寶物龍鳳鏡的生死爭奪中。與此同時，香港黑道富商白楚雄（吳啟華 飾）、黑老大十三么（朱丹青 飾）、濟州島韓國黑幫、好賭欠債的業餘殺手車基範也加入到命運的漩渦中，眾人開始了一場圍繞龍鳳鏡，充滿荒誕色彩的奪寶大戰,,IIA,86
攣情告急 “唞啖戲@D2 Place”,I Kissed a Girl  “唞啖戲@D2 Place”,喜劇,Comedy,"Maxime Govare, Noémie Saglio",Maxime Govare、Noémie Saglio,皮奧馬邁、阿特希安娜加哈芝,"Pio Marmaï, Adrianna Grzadziel",2017-04-26 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45634-2017-04-12-044348225.jpg,同志電影可以咁樣玩。HEHE情深的一對男同志戀人，其中一個竟在婚前與陌生索女一夜情，更動了真心，對住男友反而「抬唔起頭」！攣足30年忽然出現直的疑惑，HEHE婚禮又殺到埋身，最終點收科？巴黎靚人靚景下，輕輕鬆鬆大玩性別議題，笑住遊走於同性戀、異性戀、雙性戀的錯綜複雜關係當中，「攣過界」志在話你知愛其實好簡單。,"Jérémie, 34, wakes up in an apartment he doesn’t know, next to a woman he doesn’t know. She is Adna, a stunning Swede, as funny as she is attaching. The beginning of a fairy tale? Not quite. Because Jérémie is about to get married… to another man.",IIB,92
達利的奇幻樂園 (Arts in Cinema Part 3),Dali’s Last Masterpiece (Arts in Cinema Part 3),,,David Pujol,David Pujol,,,2017-04-26 00:00:00,http://api.hkmovie6.com/hkmovies/images/movies/movies_45658.jpg,"達利劇院博物館首次開放予攝製隊拍攝，讓觀眾能跟隨超現實畫家達利走進位於其家鄉菲格拉斯的博物館，遊走於過千件不同風格的藝術創作之間，引領觀眾探索達利的奇幻樂園。 這座由達利親自參與建設的博物館，是他尚未完成的最後作品，象徵著這位藝術鬼才的個人宇宙，以及對藝術的畢生追求。由達利聲音導航，館中每個空間、每樣展品、每件珍貴真跡，都將他的超現實主義創作元素、思想理念和個性活現眼前。由達利基金會聯手製作，《達利的奇幻樂園》讓我們置身戲劇般的夢幻氛圍，感受藝術的魔法。","For the first time, the Dali Theatre-Museum in Figueres opens its doors for an all-access tour with the master himself. The museum is a place where he poured his entire universe into and that synthesizes his life dedicated to art. Dali's voice guides us through his unfinished last creation, bringing his work, thoughts and personality to life. Co-produced by the Dali Foundation, Dali's Last Masterpiece makes us a privileged audience to the magic of art.",I,90
銀河守護隊2,Guardians of the Galaxy Vol. 2,動作、冒險,"Action, Adventure",占士根,James Gunn,基斯柏特、素兒蘇丹娜、戴夫巴蒂斯塔、畢列谷巴、雲迪素,"Chris Pratt, Zoe Saldana, Karen Gillan",2017-04-27 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_44980-2017-03-28-082041885.jpg,Marvel Studios《銀河守護隊2》貫切其玩嘢抵死風格，一班「非一般超級英雄英雄」將繼續至激宇宙大冒險！全新一集將會full team 回歸，由亡命之徒星爵(基斯柏特 Chris Pratt)領軍，聯同女殺手嘉魔娜(素兒蘇丹娜 Zoe Saldana)、超級戰士達拉斯(戴夫巴蒂斯塔 Dave Bautista)、神槍手火箭(畢列谷巴 Bradley Cooper聲演)以及 又萌又打得嘅小樹人(雲迪素 Vin Diesel聲演)。全新歷險中，佢哋將會遇身份神秘、外號為「生命恆星」嘅壹高(Ego)。更發現了足以挑戰整個宇宙安危的重大陰謀，究竟佢哋點樣可以再次保衛宇宙?,"Set to the all-new sonic backdrop of Awesome Mixtape #2, Marvel’s ＂Guardians of the Galaxy Vol. 2＂ continues the team’s adventures as they traverse the outer reaches of the cosmos. The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill’s true parentage. Old foes become new allies and fan-favorite characters from the classic comics will come to our heroes’ aid as the Marvel Cinematic Universe continues to expand.",IIA,136
春嬌救志明,Love Off the Cuff,喜劇、劇情、愛情,"Comedy, Drama, Romance",彭浩翔,Pang Ho-cheung,楊千嬅、余文樂,"Miriam Yeung, Shawn Yue",2017-04-27 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45285-2017-03-18-054358123.jpg,"2010年，志明與春嬌在迷宮一般的香港後巷搭上。2012年，二人在異地各自覓愛，最終選擇繼續相愛。2017年，春嬌志明誓要來一場驚天動地的愛情，在驚濤駭浪中倆人如何自己感情自己救！春嬌與志明一眨眼已步入 7 年之癢感情期限，能否跨得過去？不得而知。但過程中肯定要經歷無數喜怒離合，才能得到最後答案。","Shawn Yue and Miriam Yeung reprise their popular roles as Jimmy and Cherie in this third installment of the romantic comedy Love in a Puff. Back together since Love in the Buff, Jimmy and Cherie strive to stay together happily ever after. But the shocking news of Cherie’s philandering father marrying a girl younger than herself does not make things any easier for Cherie…",IIB,120
禁斷之百合,White Lily,劇情,Drama,中田秀夫,Hideo Nakata,飛鳥凛、山口香緒里,"Rin Asuka, Kaori Yamaguchi",2017-04-27 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45306-2017-04-10-055605942.jpg,登紀子與春香是陶藝教室的師徒，年輕的春香自小跟從登紀子學習陶藝，兩人關係神秘，教室儼如彼此的秘密花園。直至一天，俊俏的悟突然出現，錯綜複雜的三人關係就此失控。《午夜凶鈴》J Horror大師中田秀夫在情色電影的黃金時代入行，今次加盟日活羅曼情色電影45週年紀念企劃，初探女同志間的情慾性愛。本片入圍釜山影展「午夜激情」單元。,"Two females are in a relationship. The couple is not an intrinsic lesbian, but they fell for each other by chance. Tokiko has trauma with her past fiancée and continues to sleep with several men as if she tests Haruka’s love. In contrast, Haruka strongly believes the patience and tolerance against a partner’s irrationality means the power of love. With the emergence of Satoru, a handsome young guy, their love of soul gradually transforms into a twisted codependent relationship and gets mad despite themselves. This is a woman’s growth story describing from the struggles with a painful love to overcoming it. Hideo Nakata makes a sublime love story for the Roman Porno Reboot project. Official selection of Busan International Film Festival.",III,80
伊朗式遷居,The Salesman,劇情,Drama,阿斯加法哈迪,Asghar Farhadi,沙哈比河西尼、塔雲妮阿里度絲蒂、巴伯卡維米,"Taraneh Alidoosti, Shahab Hosseini, Babak Karimi",2017-04-27 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45535-2017-04-23-164205159.jpg,居於伊朗德黑蘭年輕夫婦伊密(沙哈比河西尼 飾)和蘭娜(塔雲妮阿里度絲蒂飾)都是舞台劇演員，正在演出《推銷員之死》，一天他們居住的大廈倒塌，幸得同劇演員介紹遷往另一空置公寓，誰知這是惡夢的開始......一晚，蘭娜在家中洗澡時遇上離奇意外，其後伊密得知寓所前租客是名麻煩多多的妓女，很有可能與事件有關。為了愛妻，伊密不斷追尋線索，勢要揪出犯人，但他的憤怒與偏激行為，令人漸漸分不清究竟他是要追求真相與公義，還是變成了純粹的報復......,"Forced to leave their collapsing house, Ranaa and Emad, an Iranian couple who happen to be performers rehearsing for Arthur Miller's ＂Death of a Salesman＂ rent a new apartment from one of their fellow performers. Unaware of the fact that the previous tenant had been a woman of ill repute having many clients, they settle down. By a nasty turn of events one of the clients pays a visit to the apartment one night while Ranaa is alone at home taking a bath and the aftermath turns the peaceful life of the couple upside down.",IIA,123
你還會在嗎,Will You Be There,劇情、幻想,"Drama, Fantasy",洪智暎,HONG Ji-young,金倫奭、卞約漢、蔡舒辰,"KIM Yoon-suk, BYUN Yo-han, CHAE Seo-jin",2017-04-27 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45644-2017-04-13-044529205.jpg,韓秀賢（金倫奭　飾）在一次醫療救援行動中因拯救了一位嬰兒而得到了10顆藥丸作為禮物。因好奇心作祟，秀賢吞下藥丸並睡著了，當他起床的時候，發現自己返回過去，改寫命運，30年前的──年輕秀賢（卞約漢　飾）站在自己面前……秀賢該如何說服「自己」要拯救女友？如果拯救女友意味著未來的一切將被改變，包括他深愛的女兒可能不在人世，秀賢有勇氣做出他想要的改變嗎?,"While on a humanitarian mission in Cambodia, older Soo-hyun (KIM Yoon-suk) saves a baby’s life and receives 10 mysterious pills from an elderly man in return. Out of curiosity, Soo-hyun takes a pill then falls asleep. When he wakes up, he comes face to face with his younger self of 30 years in the past. Younger Soo-hyun (BYUN Yo-han) is happy and in love with his long-time girlfriend, Yeon-a (CHAE Seo-jin). One day, he helps a man who is fallen in the streets. Later, the man claims that he is himself from the future. Dumfounded, Soo-hyun sees the evidence that the man shows him and falls deeper into confusion and chaos.",IIA,110
我的失常日記,Brain On Fire,劇情,Drama,謝拉巴倫,Gerard Barrett,嘉兒莫蕊茲、湯馬士曼、嘉莉安慕絲、李察阿米塔其 ,"Chloë Grace Moretz, Thomas Mann, Carrie-Anne Moss, Richard Armitage",2017-04-27 00:00:00,https://storage.hkmovie6.com/prod/movie/movies_45649-2017-04-13-080045969.jpg,剛從大學畢業的蘇珊娜(嘉兒莫蕊茲 飾)在紐約郵報從事夢寐以求的記者工作，入行不久就深得重用，又與音樂人史提芬(湯馬士曼 飾)蜜運之中，事業愛情兩得意。但好景不常，蘇珊娜突然患上久久未癒的感冒，身體狀態每況愈下，她開始變得善忘、無法完成工作，更開始出現幻聽幻覺，甚至癲癇症狀……父母陪伴她四處求醫，留院多時，卻無人能斷症。究竟是甚麼奪走了昔日聰穎可人的蘇珊娜？她又能否走出失常日子，重過新生？,"SUSANNAH CAHALAN is a young woman, just out of university and living her dreams in New York City. She’s an up-and-coming journalist at the New York Post, and she’s falling in love with a musician named STEPHEN. When her boss gives her the big assignment that will jumpstart her career, things couldn’t be better. Soon little things start going wrong. Susannah gets a flu she can’t shake, she forgets things, and she misses deadlines at work. She can hear people talking about her, she’s sure that Stephen has another girlfriend, and she can’t control her body. It soon gets worse; Susannah begins having violent seizures, and her increasingly psychotic behaviour means she must be watched at all times. After repeated trips to the hospital, a team of doctors can find nothing wrong with her. As Susannah is admitted and spends days, then weeks, in a hospital bed losing her ability to move, talk, even eat, her family is repeatedly told that she is one hundred percent healthy. Her mom RHONA and her dad TOM are at a breaking point, waiting for their daughter to die while being told there is nothing anyone can do to help her. With Susannah trapped in a body that continues to deteriorate, her family keeps hoping for someone, anyone, that can solve the mystery. Only when they finally find a doctor determined and curious enough to see her case through can Susannah begin to recover from her bizarre illness and try to get back to the vibrant young woman she was.Directed by Gerard Barrett, BRAIN ON FIRE is the astonishing true story of a young woman’s descent into madness in the face of a medical mystery. An unforgettable story of memory and identity, faith and love, and a profoundly compelling tale of survival and perseverance.",IIA,89